Loading detector: yolov8n_openvino_model [openvino]
Loading pose model: yolov8n-pose_openvino_model [openvino]
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
스트림 확인 중: rtsp://127.0.0.1:8554/seatnow
Live: rtsp://127.0.0.1:8554/seatnow — 2560x1440, 29.970 fps, codec=hevc
하드웨어 디코딩 켜짐 (vaapi)
Analyzing every 15s (newest 5 frames majority vote, live)
Loading /home/hugo/seatnow/yolov8n_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
Loading /home/hugo/seatnow/yolov8n-pose_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on (CPU)...
[1770.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5065ms
[1785.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5082ms
[1800.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5091ms
[1815.0s] tables=12 occupied=3 empty=7 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5061ms
[1830.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5071ms
[1845.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4988ms
[1859.9s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5155ms
[1875.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5135ms
[1889.9s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5035ms
[1905.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=4979ms
[1920.0s] tables=12 occupied=3 empty=9 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=4961ms
[1935.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5054ms
[1950.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5047ms
[1965.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5050ms
[1980.0s] tables=12 occupied=3 empty=8 ignore=0 poses(seated/standing/unknown)=0/3/0 inference=5040ms
[1995.0s] tables=12 occupied=3 empty=6 ignore=0 poses(seated/standing/unknown)=0/2/0 inference=5004ms
