ts,load1,mem_used_mb,mem_avail_mb,swap_used_mb,cpu_total_cores,py_cores,py_rss_mb,dec_cores,dec_rss_mb,pub_cores,pub_rss_mb,mtx_cores,mtx_rss_mb,temp_c,cpu_mhz
2026-09-06T06:33:13,0.95,1989,1808,0,1.15,0.58,1236,0.42,283,0.01,49,0.05,46,28,900
2026-09-06T06:33:23,1.04,1987,1810,0,0.83,0.32,1259,0.43,283,0.02,49,0.06,48,28,2700
2026-09-06T06:33:33,0.96,2029,1768,0,0.79,0.27,1263,0.43,283,0.02,49,0.06,48,28,1600
2026-09-06T06:33:43,1.12,2031,1766,0,1.08,0.58,1267,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:33:53,1.19,2016,1781,0,0.85,0.34,1273,0.43,283,0.02,49,0.06,47,28,2696
2026-09-06T06:34:03,1.00,2011,1786,0,0.77,0.25,1273,0.43,283,0.02,49,0.06,46,28,800
2026-09-06T06:34:13,1.07,1983,1814,0,1.13,0.57,1225,0.42,283,0.02,49,0.04,46,28,1300
2026-09-06T06:34:23,1.31,1990,1807,0,0.86,0.35,1263,0.42,283,0.02,49,0.06,48,28,2701
2026-09-06T06:34:33,1.26,2035,1762,0,0.76,0.25,1263,0.43,283,0.02,49,0.06,47,28,900
2026-09-06T06:34:43,1.29,2015,1782,0,1.08,0.58,1267,0.42,283,0.02,49,0.05,47,28,800
2026-09-06T06:34:53,1.33,2009,1788,0,0.85,0.35,1263,0.42,283,0.02,49,0.05,47,28,2700
2026-09-06T06:35:03,1.20,2005,1792,0,0.77,0.24,1263,0.44,283,0.02,49,0.06,48,28,1100
2026-09-06T06:35:13,1.55,1950,1847,0,1.17,0.58,1225,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:35:23,1.47,2000,1797,0,0.86,0.35,1263,0.43,283,0.02,49,0.06,47,28,2700
2026-09-06T06:35:33,1.32,1993,1804,0,0.75,0.24,1263,0.43,283,0.02,49,0.06,48,28,1625
2026-09-06T06:35:43,1.34,2011,1786,0,1.06,0.56,1267,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:35:53,1.53,2000,1797,0,0.87,0.36,1263,0.43,283,0.02,49,0.05,48,28,2700
2026-09-06T06:36:03,1.29,2014,1783,0,0.74,0.24,1263,0.43,283,0.02,49,0.05,46,28,800
2026-09-06T06:36:13,1.17,2028,1769,0,1.20,0.59,1267,0.42,283,0.02,49,0.05,48,28,800
2026-09-06T06:36:23,1.31,2002,1795,0,0.87,0.36,1263,0.43,283,0.02,49,0.05,48,28,2700
2026-09-06T06:36:33,1.18,2023,1774,0,0.73,0.22,1273,0.43,283,0.02,49,0.06,48,28,800
2026-09-06T06:36:43,1.22,2019,1778,0,1.06,0.57,1278,0.42,283,0.02,49,0.05,46,28,800
2026-09-06T06:36:53,1.11,2020,1777,0,0.88,0.37,1273,0.43,283,0.02,49,0.06,46,28,2955
2026-09-06T06:37:03,0.94,2020,1777,0,0.73,0.22,1263,0.43,283,0.02,49,0.06,48,28,880
